title,phone,website,emails,email_count,city,countryCode,totalScore,categoryName
AIROTECH AIR CONDITIONING & GENERAL MAINTENANCE | | AC REPAIR AND MAINTENANCE SERVICES IN ABU DHABI | تاصلاح وصيانة مكيفات,+971 56 219 4864,https://www.airotechacgm.com/,sales@airotechacgm.com | info@airotechacgm.com,2,Abu Dhabi,AE,4.7,Air conditioning contractor
SETH INT'L,+971 4 553 2663,https://www.sethnco.com/?utm_source=gmb&utm_medium=Google+My+Business&utm_id=MyBusinessPage,info@sethnco.com,1,Dubai,AE,4.8,HVAC contractor
HVAC Cleaning Service Repair Installation in Dubai - Khalifashaer.ae Company in UAE,+971 50 420 2068,https://www.khalifashaer.ae/,,0,Dubai,AE,5,HVAC contractor
"TARGET INTERNATIONAL LLC : MEP , HVAC .",+971 2 564 9566,http://www.targetinternational.ae/,,0,Abu Dhabi,AE,4.7,HVAC contractor
MOLTEN,+971 50 391 4260,http://www.moltents.com/,info@moltents.com,1,Dubai,AE,4.9,HVAC contractor
SAKA Group of companies,+971 2 551 1392,https://www.sakagroup.ae/,support@sakagroup.ae,1,Abu Dhabi,AE,4.5,HVAC contractor
Sun and Sky Electromechanical and General Contracting L.L.C,+971 55 619 1629,http://www.sunandsky-me.com/,,0,Abu Dhabi,AE,4.9,HVAC contractor
Jusoor Facility Management LLC,+971 50 450 0876,http://www.jusoorfm.com/,,0,Abu Dhabi,AE,4.4,HVAC contractor
Arctic Mount Chiller Service / Compressor overhauling,+971 50 571 7666,http://www.arcticmount.com/,,0,Dubai,AE,4.5,HVAC contractor
AirCo LLC,+971 50 851 1091,https://air-co.ae/,,0,Abu Dhabi,AE,4.5,Air conditioning contractor
AL MUBASHIR AIR CONDITION TRADING & MAINTENANCE LLC,+971 56 375 0744,https://www.almubashir.ae/,sales@almubashir.ae,1,Abu Dhabi,AE,5,HVAC contractor
Prime A/C Industries LLC,+971 4 807 0000,http://www.primeaircon.com/,,0,Dubai,AE,4,HVAC contractor
Heinen & Hopman Airconditioning LLC (Formerly known as CASP),+971 4 584 0111,http://www.heinenhopman.com/,info@es.heinenhopman.com | info@drewsaustria.com | info.eg@meh-consulting.com | aalesund@teknotherm.no | info@technava.gr,5,Dubai,AE,4.7,HVAC contractor
Cool And Cool Air Condition System LLC,+971 56 300 0442,https://www.ogeneralac.com/,info@cacdubai.com,1,Dubai,AE,4.7,Air conditioning contractor
Samra Facilities Inc - AC Repair & Maintenance,+971 52 423 0419,https://www.samrafm.com/,,0,Dubai,AE,4.7,Air conditioning contractor
Enviro Clean UAE,+971 52 838 9414,https://envirocleanuae.com/,info@envirocleanuae.com,1,Dubai,AE,4.9,Air duct cleaning service
Fastfix,+971 54 538 6815,https://ac-servicesdubai.com/,jjanu1233@gmail.com,1,,,4.8,HVAC contractor
Gaia Solutions,+971 56 374 2421,https://www.gaia-solutions.earth/,support@gaia-solutions.earth,1,Dubai,AE,5,Air duct cleaning service
Biosweep Middle East Disinfection Services LLC | AC Duct Cleaning Dubai,+971 56 177 9641,https://www.biosweepuae.com/,,0,Dubai,AE,4.9,Air duct cleaning service
Home Fixers Dubai,+971 55 708 1827,https://homefixers.ae/,,0,Dubai,AE,4.9,Electrician
Silver Lake Electromechanical Works LLC - Abu Dhabi Branch,+971 2 553 7796,https://www.silverlakeelectromechanical.com/,info@silverlakeelectromechanical.com | sales@silverlakeelectromechanical.com,2,Abu Dhabi,AE,4.9,HVAC contractor
Special Air Condition General Maintenance || AC Repair in Abu Dhabi | تصليح مكيفات الهواء في أبو ظبي,+971 52 347 6261,https://specialairconditiongeneralmaintenance.com/,mozammalhoque2020@gmail.com,1,Abu Dhabi,AE,4.5,HVAC contractor
YORKS Air Conditioning & Refrigeration WLL,+971 2 550 9788,http://www.yorks.ae/,,0,Abu Dhabi,AE,4.8,Air conditioning contractor
Prime Central Air Conditioning Co. L.L.C,+971 2 672 4648,http://www.primegroupuae.ae/,,0,Abu Dhabi,AE,4.6,Air conditioning contractor
"Saeed Al Meraikhi Repairing Air Conditioning | AC, Fridge & Washing Machines Repair in Abu Dhabi",+971 56 326 8997,http://www.samacmaintenance.com/,saeedalmeraikhi36@gmail.com | info@saeedalmeraikhi.com | needhelp@company.com,3,Abu Dhabi,AE,4.6,HVAC contractor
Takyeef Factory LLC,+971 2 551 2552,http://www.takyeeffactory.ae/,,0,Abu Dhabi,AE,4.1,HVAC contractor
Ac service abu dhabi electra state,+971 56 532 3669,,,0,Abu Dhabi,AE,4.6,HVAC contractor
MADA INTERNATIONAL ELECTROMECHANICAL CONT. CO. L.L.C.,+971 50 204 0503,http://mada-international.com/,info@mada-international.com,1,Abu Dhabi,AE,4.6,HVAC contractor
Seven Towers Construction Abudhabi,+971 55 584 8686,,,0,Abu Dhabi,AE,4.3,HVAC contractor
Blue Triangle Electromechanical Contracting L.L.C,+971 50 961 8816,http://www.bluetriangleuae.com/,mazenb@bluetriangleuae.com | info@bluetriangleuae.com,2,Abu Dhabi,AE,4.6,HVAC contractor
AC Maintenance In Dubai (Ac Maintenance In Dubai),+971 56 767 0196,https://wa.link/bwe9w5,,0,Dubai,AE,4.3,HVAC contractor
Ac Maintenance Dubai LLC Best Services,+971 55 915 1292,,,0,Dubai,AE,4.6,Plumber
"We Fix UAE | #1 Dubai Maintenance, Fitout & Renovation Company | AC Repair & AC Installation, Handyman, Electrician",+971 52 154 6723,https://wefixuae.com/,,0,Dubai,AE,4.9,Property maintenance
Ac dubai maintenance,+971 54 488 2081,http://acdubaimaintenance.com/,dubaimaintenance28@gmail.com | info@acdubaimaintenance.com,2,Dubai,AE,4.7,Repair service
Al Hadi Ac Repair & Maintenance Services Sharjah | AC repair and maintenance sharjah | Ac Repair Sharjah,+971 50 946 0730,https://alhadiacrepair.ae/,happyimran55@gmail.com | hadiacrepair@gmail.com,2,Sharjah,AE,4.8,Air conditioning contractor
ALJUNAID AIR CONDITIONING LLC الجنيد للتكييف,+971 50 484 9694,http://www.aljunaidgroup.com/,info@aljunaidgroup.com,1,Sharjah,AE,4.8,Air conditioning contractor
S.K.M. Air Conditioning LLC شركة اس كي ام للتكييف,+971 6 514 3333,https://www.skmaircon.com/,sales@skmaircon.com | info@visiontrade.ae | aftersalesauh@skmaircon.com | kuwaitsales.skm@skmaircon.com | skm@visiontrade.ae,5,Sharjah,AE,4.2,HVAC contractor
Al Ramiz Equipment – HVAC & Appliance Spare Parts | Sharjah & Dubai,+971 6 564 6340,http://alramizequip.com/,irfanmark55585@gmail.com | info@alramizequip.com,2,Sharjah,AE,5,Air conditioning system supplier
DAR AL IETEMAD A/C & REF. REPAIRING,+971 52 240 1512,,,0,Sharjah,AE,4.9,Air conditioning repair service
John Paul AC,+971 50 684 1059,https://www.johnpaulac.com/,info@johnpaulac.com | example@mysite.com,2,Sharjah,AE,4.9,Air conditioning contractor
Frosty AC Repair and Maintenance Sharjah,+971 50 804 4026,https://frostyacrepairsharjah.com/,,0,Sharjah,AE,4.9,Air conditioning repair service
Elegant Desert HVAC Contractor Sharjah,+971 55 480 4676,https://elegantdeserthvac.com/,,0,Sharjah,AE,5,HVAC contractor
Creative Air Conditioning Maintenance Works,+971 55 526 9352,http://www.acserviceajman.com/,creative.cac@gmail.com | support@acserviceajman.com,2,Ajman,AE,4.9,Air conditioning contractor
SKYLIGHT HVAC TRADING LLC (Sharjah Branch),+971 6 530 0181,https://skylightac.com/,,0,Sharjah,AE,5,HVAC contractor
alfain electrical and ac devices tr,+971 52 452 1010,,,0,Sharjah,AE,5,Air conditioning store
AL NAJM AL AKHTHER AC AND REF REPAIRS,+971 52 555 7981,http://alnajmrepairs.com/,,0,Sharjah,AE,4.6,Air conditioning repair service
Ayan AC Repair,+971 55 812 6876,http://www.ayanacrepairsharjah.com/,info@ayanacrepairsharjah.com,1,Sharjah,AE,4.8,Appliance repair service
Chillpro AC repairs Sharjah,+971 55 814 8049,https://chillprodubai.com/,,0,Sharjah,AE,4.7,HVAC contractor
Al Sama Al Safia A/C & Ref Repairing,+971 50 519 3951,,,0,Sharjah,AE,5,Air conditioning repair service
BNT Airconditioning Systems SHARJAH Branch,+971 6 533 9610,http://www.bntglobalme.com/,sales@bnt.ae | salesauh@bnt.ae | sales@bnttech.ae | farmershare2019@gmail.com | salesdxb@bnt.ae,5,Sharjah,AE,5,Air conditioning system supplier
Geo Electrical Contracting Trading Co.,+971 6 542 0603,https://geogroupglobal.com/,info@geogroupglobal.com,1,Sharjah,AE,4.1,Air conditioning contractor
Tuba Auto Electiric & AC Workshop,+971 56 797 1064,http://tubaautofixer.ae/,enquiries@tubaautofixer.ae | info@tubaautofixer.ae,2,Sharjah,AE,4.8,Auto air conditioning service
Burj Al Dar - Tech Contractor - General Maintenance - AC unit Fix Contracting,+971 56 996 3381,http://www.burjaldar.com/,,0,Sharjah,AE,4.5,HVAC contractor
Generaltec Sharjah,+971 6 530 0505,https://generaltec.com/,,0,Sharjah,AE,4.4,Electronics company
نيو لاند للمكيفات المركزية ش ذ م م New Land Central AC LLC,+971 7 233 4942,https://www.newlandcac.ae/,,0,Ras Al-Khaimah,AE,4.7,HVAC contractor
Cost Air HVAC Contracting LLC,+971 55 132 0838,https://costair.ae/,%20costairac@gmail.com | costaircontracting@gmail.com,2,Sharjah,AE,4.7,HVAC contractor
Darpan Technical Services L.L.C,+971 4 587 7111,https://www.darpanengg.com/,info@darpanengg.com,1,Dubai,AE,4.4,HVAC contractor
Hollywood Technical Contracting LLC.,+971 50 395 0987,https://hollywoodhvactech.com/,hwtc2005@yahoo.com,1,Sharjah,AE,4.2,HVAC contractor
Mr clean AC systems LLC,+971 55 942 8555,http://mrclean-ac.com/,,0,Dubai,AE,4.8,HVAC contractor
"LAADS | Construction Company in Dubai, UAE | Interior Fit Out, MEP, HVAC Company in Dubai, UAE",+971 4 347 5730,https://www.laads.ae/,,0,Dubai,AE,4.5,HVAC contractor
FRESHAIR TECHNICAL SYSTEMS LLC,+971 50 292 4839,https://www.freshairholding.com/,support24@kleanix.com | iadmin@freshairholding.com | mailinfo00@kleanix.com | admin@freshairholding.com,4,Dubai,AE,4.9,HVAC contractor
McMaster Electromechanical Works LLC,+971 50 333 2994,http://www.mcmaster.ae/,,0,Dubai,AE,4.5,HVAC contractor
AC Repair Services In Dubai,+971 50 205 5426,,,0,,,4.8,Air conditioning repair service
Dubai AC Repair Service,+971 56 821 9493,https://dubaiacrepairservice.com/,info@dubaiacrepairservice.com,1,,,5,Service establishment
DAM Technical LLC - AC Repair And Maintenance,+971 56 126 5224,https://damtechnicalllc.com/,,0,,,5,Air conditioning repair service
"Brave Cool AC Installatoin, AC Repair and Systems Fixing L.L.C",+971 56 272 4299,https://bravecoolac.com/,bravecoolac@gmail.com | info@bravecoolac.com,2,Dubai,AE,4.5,Air conditioning repair service
SASCO Industry,+971 2 554 4605,,,0,Abu Dhabi,AE,4,Air conditioning contractor
Awal Experts,+971 50 225 0234,https://awalexperts.com/,info@awalexperts.com,1,Sharjah,AE,4.9,Air conditioning repair service
Smart Air Condition Refrigeration & A/C Services,+971 54 732 8202,https://smartacrepairuae.com/,help@smartacrepairuae.com,1,Sharjah,AE,4.9,Appliance repair service
"Desert AIr A/C Units.Fix Contracting LLC ,Sharjah",+971 6 542 7577,http://www.desertair.ae/,info@desertair.ae | desertair2007@gmail.com,2,Sharjah,AE,4.4,Air conditioning contractor
Awal Experts,+971 50 225 0234,https://awalexperts.com/,info@awalexperts.com,1,Dubai,AE,4.9,Air conditioning repair service
Chill Clean Ac,+971 55 651 6448,https://chillcleanac.com/,info@chillcleanac.com,1,Dubai,AE,5,Air duct cleaning service
"Ac, refrigerator & washing machine repair Dubai",+971 55 667 3225,,,0,Dubai,AE,4.9,Air conditioning repair service
MAH Technical Services,+971 55 797 1900,https://acfixerdubai.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,acfixerdubai@gmail.com,1,Dubai,AE,5,Air conditioning repair service
Good to Good Technical AC Repair Services,+971 55 145 4085,https://goodtogood.io/,info@goodtogood.io,1,Dubai,AE,5,Air conditioning repair service
PACVENT CENTRAL AC EQUIPMENT INDUSTRY AND AC CONTRACTOR,+971 4 335 6667,http://www.pacventac.com/,info@pamiangroup.com | info@pacventac.com,2,Dubai,AE,4.5,Air conditioning contractor
Dream Cool Air Conditioning Systems LLC,+971 56 667 5366,https://dreamcoolacs.com/,info@dreamcoolacs.com | info@dreamcoolac.com,2,Dubai,AE,4.4,Air conditioning repair service
"Workman Technical Services എയർ കണ്ടീഷനിംഗ് കമ്പനി, (AC Works, AC Repair, AC Maintenance, AC Installation & Duct Works)",+971 55 619 6816,https://www.workmants.com/,info@workmants.com | wmtechnicalservice@outlook.com,2,Dubai,AE,4.9,HVAC contractor
Power Cool AC Spare Parts Trading LLC,+971 50 968 3800,https://www.powercool.ae/,info@powercool.ae,1,Abu Dhabi,AE,4.5,Air conditioning system supplier
AC Repair Al Barsha | AC Service Jumeirah Village | AC Pro LLC,+971 50 698 2194,https://acpro.ae/,info@acpro.ae,1,Dubai,AE,4.6,Air conditioning repair service
"Reliance Electrical, Mechanical & Plumbing Contracting Company W L.L.C - Abu Dhabi Branch",+971 2 674 3440,http://www.remco-uae.com/,remco@emirates.net.ae,1,Abu Dhabi,AE,3.6,HVAC contractor
"Ameco hvac duct and air diffusser , sand blasting and powder coating factory",+971 56 289 9994,http://www.amecohvac.com/,,0,Abu Dhabi,AE,4.4,Manufacturer
Work Man Services General Maintenance HVAC and MEP Services,+971 2 584 2646,http://www.workmanservices.ae/,info@workmanservices.ae,1,Abu Dhabi,AE,4.1,HVAC contractor
HVAC GENERAL TRADING SOLE PROPRIETORSHIP L. L. C,+971 56 603 3789,https://www.hvacgulf.ae/,info@hvacgulf.ae%20 | info@hvacgulf.ae,2,Abu Dhabi,AE,5,HVAC contractor
Agility Group I HVAC l MEP | Refrigeration & Air Conditioning,+92 320 0975869,http://www.sakagroup.ae/,support@sakagroup.ae,1,Abu Dhabi,AE,3.9,HVAC contractor
AL RIMH AL DAHABI AC UNITS FIX CONT. LLC.,+971 6 526 2223,https://aradgroupuae.com/group/aradhome/,info@aradgroupuae.com,1,Sharjah,AE,4.7,Air conditioning contractor
AirChill AC Maintenance and Duct Cleaning,+971 58 177 7258,https://www.airchillac.com/,airchillacandduct@gmail.com,1,Dubai,AE,5,Air conditioning repair service
AL Khat AL Abyadh A/C Repairing,+971 55 257 7355,https://alkhatalabyadhacrepairing.com/,,0,Sharjah,AE,4.5,Air conditioning repair service
Trosten Industries Company LLC,+971 4 806 7666,https://www.trosten-industries.com/,info@trosten-industries.com,1,Dubai,AE,4.5,Manufacturer
Gibca Air Conditioning Company LLC,+971 6 533 2925,http://www.gibcaac.com/,,0,Sharjah,AE,3.5,Air conditioning store
Shield Air - AC Duct Cleaning Services,+971 2 555 7964,http://www.shieldair.me/,careers@shieldair.me | services@shieldair.me,2,Abu Dhabi,AE,4.8,Air duct cleaning service
BRIXTON General Maintenance,+971 50 536 9696,,,0,Abu Dhabi,AE,4.9,Air conditioning contractor
AL TAWAKKAL GEN TRDG,+971 4 228 6498,https://uaehvac.com/,,0,Dubai,AE,4.9,HVAC contractor
York Airconditioning & Refrigeration FZE,+971 4 881 2244,,,0,Dubai,AE,1.3,HVAC contractor
Abu Saeed Trading Co. Main,+971 4 228 3066,http://www.abusaeed.com/,,0,Dubai,AE,4.2,HVAC contractor
Robt Stone ASAB Industrial Yard / Camp,+971 2 676 7415,http://www.robtstone.com/,contact@robtstone.ae,1,Abu Dhabi,AE,3.8,Construction company
Car Ac Repair Center,+971 50 746 0094,,,0,Sharjah,AE,4.7,Auto air conditioning service
Airgrill Central A/c Accessories System Factory,+971 50 624 1749,https://sites.google.com/view/alakseerllc/home?authuser=0,subu.sharjah@gmail.com,1,Sharjah,AE,3,Manufacturer
AL MARAJ CENTRAL A/C ACCESSORIES FACTORY,+971 6 538 6525,http://www.almarajfactory.com/,admin@almarajfactory.com,1,Sharjah,AE,4,Air conditioning system supplier
Emirates Jo Trade Co LLC,+971 6 542 0388,http://www.joair.com/,emiratesjo@gmail.com,1,Sharjah,AE,4.1,Manufacturer
Asrar Almadina Building Maintenance,+971 55 384 7916,https://asraralmadinauae.com/,info@asraralmadianauae.com | info@asraralmadinauae.com | fixeraservices@gmail.com,3,Ajman,AE,5,Air conditioning contractor
Dubai Central AC Contracting and Fixing,+971 50 787 5246,,,0,Ajman,AE,4.9,Air conditioning contractor
Energia Technologies FZE,+971 6 745 9831,http://www.energia.ae/,syed.masoothu@energia.ae | vijayshree.kole@energia.ae,2,Ajman,AE,4.3,Air conditioning system supplier
Advance World General Trading LLC,+971 6 748 7536,https://www.advanceworldgroup.com/,sales@advanceworldgroup.com,1,Ajman,AE,4.9,Cold storage facility
Al Khansa Technical Services,+971 54 303 5556,https://alkhantechpro.com/,,0,Ajman,AE,4.4,Property maintenance
COOL SALES SOLUTION A/C SPARE PARTS TRADING LLC,+971 50 165 4982,,,0,Ajman,AE,4.9,Air conditioning system supplier
COOLING TOWER TECHNOLOGY,+971 50 671 2413,http://www.coolingtoweruae.com/,info@coolingtoweruae.com,1,Ajman,AE,4.8,HVAC contractor
Right Face Plus Electro Mechanical Works LLC,+971 6 520 9328,,,0,Ajman,AE,5,HVAC contractor
Expert Electromechanical Contracting,+971 6 746 5056,http://www.anjexpert.com/,info@expertemc.ae,1,Ajman,AE,4.6,Contractor
القدس لمقاولات التكييف ذ.م.م ALQUDS AC CONTRACTING L.L.C,+971 58 196 6880,,,0,Ajman,AE,4.5,HVAC contractor
Nine Cloud Technical Services LLC,+971 50 460 5363,https://ninecloud.ae/,info@ninecloud.ae,1,Ajman,AE,4.7,Interior Decorator
UNITED AIR CONDITIONING INDUSTRY LLC,+971 6 766 8811,,,0,Ajman,AE,4.2,Manufacturer
Prema Electromechanical Contracting L.l.c,+971 55 397 7831,http://chillerguy.ae/,,0,Ajman,AE,4.1,Air conditioning contractor
Star Cool Refrigeration INT Spare parts Trading,+971 54 527 3753,,,0,Ajman,AE,5,Refrigerator store
HAWA Industrial LLC,+971 6 537 5000,http://www.hawaindustrial.com/,ahmad.hani@hawaindustrial.com | uaesales@hawaindustrial.com,2,Emirate of Umm Al Quwain,AE,5,Air conditioning system supplier
United Gulf Engineering Services and Contracting LLC,+971 6 766 3492,http://www.unitedgulf.ae/,support@unitedgulfengg.com,1,Emirate of Umm Al Quwain,AE,4.9,Corporate office
Mannatech Technical Services - MTECH Chiller,+971 55 573 8721,http://www.mtechmiddleeast.com/,,0,Ajman,AE,4.8,Water cooler supplier
AL ASSALA DUCT MANUFACTURING UNIT,+971 6 743 5340,https://www.alassalaac.com/,info@alassalaac.com,1,Ajman,AE,5,Air conditioning contractor
Oasis Cool & Heat Coils L.L.C,+971 52 620 7903,http://www.oasisaccoils.com/,,0,Ajman,AE,5,Manufacturer
Emirates Cool,+971 50 769 8461,http://www.emiratescool.com/,awesomemail@gmail.com,1,Ajman,AE,3.7,Air conditioning contractor
Air Technics LLC,+971 52 211 7375,http://www.airtechnicsgcc.com/,airtechgcc@gmail.com,1,Emirate of Umm Al Quwain,AE,5,HVAC contractor
AL ASSALA A/C CONTR. L.L.C.,+971 6 743 5340,http://www.alassalaac.com/,info@alassalaac.com,1,Ajman,AE,4.5,Air conditioning contractor
كي ستار تركيب وصيانة التكييف المركزي,+971 55 609 4001,https://www.kstarcont.com/,info@kstarcont.com,1,Ajman,AE,4.9,HVAC contractor
Snow Mass International LLC,+971 50 681 6254,http://snowmassinternational.com/,sales@snowmassinternational.com | marketing@snowmassinternational.com | sales.oman@snowmassinternational.com,3,Ajman,AE,5,HVAC contractor
KAW Construction & building maintenance,+971 58 935 3975,https://buildingmaintenanceservicesuae.com/,,0,Ajman,AE,5,HVAC contractor
AL MUMTAZ for Engineering Consultancy ( almumtaz-fme ),+971 55 923 1961,https://www.almumtaz-fme.com/,hafiz.azad@almumtaz-fme.com | azeem.aslam@almumtaz-fme.com | eng.sajid@almumtaz-fme.com,3,Ajman,AE,4.8,HVAC contractor
Spectrum Smart Solutions Systems سبيكتروم لأنظمة الحلول الذكية,+971 6 744 5665,https://www.spectrum.co.ae/,info@spectrum.co.ae,1,Ajman,AE,4.7,Automation company
Refrigerant Gas,+971 56 546 3744,,,0,Ajman,AE,,HVAC contractor
ROCMOUNT TECHNICAL WORKS L.L.C,+971 55 596 9127,https://www.rocmounttech.com/,info@rocmounttech.com,1,Ajman,AE,5,Contractor
JAMAL AL SHARQ TECHNICAL SERVICES (S.P.S-L.L.C) - جمال الشرق للخدمات الفنية (ذ.م.م - ش.ش.و),+971 54 433 1431,https://www.jamalalsharq.com/,,0,Ajman,AE,3.3,HVAC contractor
Al Neefa Contracting Company LLC,+971 6 766 0888,http://www.alneefauaq.com/,alneefa@emirates.net.ae,1,Emirate of Umm Al Quwain,AE,4,Construction company
Tecnalco - Aluminium Technical Engineering Factory,+971 6 766 5661,https://tecnalco.com/,%20mail@tecnalco.com | mail@tecnalco.com,2,Emirate of Umm Al Quwain,AE,4.3,HVAC contractor
Electro Rak Group,+971 7 244 7326,https://www.electrorakgroup.com/,enquiries@electrorakgroup.com | enquiries@electrorakindia.com,2,Ras Al Khaimah,AE,4,Construction company
Century Mechanical Systems Factory LLC,+971 7 244 9255,http://www.cmsglobal.com/,,0,Ras Al Khaimah,AE,4,Manufacturer
MMC Engineering Co LLC,+971 50 737 6140,https://mmcengineeringco.mmcgroupuae.com/,pradeep@mmcengco.com | sales@mmcengco.com,2,Emirate of Umm Al Quwain,AE,4.5,HVAC contractor
Acevac Middle East LLC,+971 6 765 1248,,,0,Emirate of Umm Al Quwain,AE,4.4,Air conditioning contractor
Prime AC Trading FZC,+971 55 151 7571,http://www.primeaircon.com/,,0,Emirate of Umm Al Quwain,AE,3.7,Steel distributor
AEROSYS HVAC SOLUTIONS LLC,+971 50 770 4335,https://www.aerosysuae.com/,info@aerosysuae.com | rutuja.aerosys@gmail.com,2,Emirate of Umm Al Quwain,AE,5,Manufacturer
Al Mubashir Mechanical Cont. L.L.C,+971 55 282 4555,http://almubashir.net/,,0,ام القيوين,AE,5,Construction company
UTS Carrier,+971 7 233 3824,https://www.carrier.com/commercial/en/ae/,,0,Ras Al Khaimah,AE,3.8,Air conditioning system supplier
VERDANT INDUSTRIES FZC,+971 50 744 0057,https://verdantuae.com/,sales@verdanttrading.com,1,Emirate of Umm Al Quwain,AE,4.5,HVAC contractor
AIRPRO INDUSTRIES LLC,+971 6 526 6800,https://airprome.com/,sales@airprome.com,1,Emirate of Umm Al Quwain,AE,4.5,Air conditioning system supplier
Airwellcare HVAC Systems LLC,+971 50 634 5506,http://www.airwellcare.com/,sales@airwellcare.com,1,Emirate of Umm Al Quwain,AE,3.8,Manufacturer
Al Haboob Repairs. Umm Al Quwain,+971 55 877 5030,,,0,Emirate of Umm Al Quwain,AE,4.1,Air conditioning repair service
Al Bader A/C System Cont L.L.C,+971 50 318 6228,https://albaderacsystem.com/,info@albaderacsystem.com,1,Ajman,AE,5,Air conditioning store
