"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"AC Maintenance Dubai and AC Installation Dubai","5",,,,,,"https://acmaintenancedubaiandacinstallationdubai.com/","+971 55 987 4090","Air conditioning system supplier","Air conditioning repair service","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AC%20Maintenance%20Dubai%20and%20AC%20Installation%20Dubai&query_place_id=ChIJwzJHPJ5rXz4R6H1gYA2sI3U","Air conditioning system supplier"
"AC Maintenance & Repairing Services in Dubai","5",,"Churchill, Executive Towers - 3813",,"Dubai","AE",,"+971 50 877 5343","Air conditioning repair service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AC%20Maintenance%20%26%20Repairing%20Services%20in%20Dubai&query_place_id=ChIJF5wyD6RpXz4RHbydRR-2_SQ","Air conditioning repair service"
"Emergency AC Service & Repair | Top Technician Available 24/7","4.2",,"Al Fahidi Building, Office No 43/44",,"Dubai","AE","https://homefixituae.com/24hr-emergency-ac-repair-dubai/","+971 55 204 1300","Air conditioning repair service","HVAC contractor","Machine maintenance service","Plumber",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Emergency%20AC%20Service%20%26%20Repair%20%7C%20Top%20Technician%20Available%2024%2F7&query_place_id=ChIJy1i8LTZDXz4RaySE_8unzAw","Air conditioning repair service"
"AC Services Al Barsha","4.5",,"P01, Shop no 01 France Cluster",,"Dubai","AE","https://acmaintenanceindubai.ae/","+971 50 768 6879","Air conditioning repair service","HVAC contractor","Repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AC%20Services%20Al%20Barsha&query_place_id=ChIJT7gx9nFnXz4RxQ5dfuggSIQ","Air conditioning repair service"
"Al Naveed AC Repair & Maintenance","4.5",,"28C St",,"Dubai","AE","https://www.alnaveedac.com/","+971 50 297 7603","Air conditioning repair service","Air conditioning contractor","Air conditioning store","Air conditioning system supplier","Appliance repair service","HVAC contractor","Refrigerator repair service","Repair service",,,,"https://www.google.com/maps/search/?api=1&query=Al%20Naveed%20AC%20Repair%20%26%20Maintenance&query_place_id=ChIJm16B2bRcXz4RTKObo1ozLt0","Air conditioning repair service"
"Cooling Home Maintenance Services - 24/7 AC Repair & Installation in Dubai","4.6",,,,"Dubai","AE","https://coolingdxb.com/","+971 58 835 9547","Air conditioning repair service","Air conditioning contractor","HVAC contractor","Plumber","Water pump supplier",,,,,,,"https://www.google.com/maps/search/?api=1&query=Cooling%20Home%20Maintenance%20Services%20-%2024%2F7%20AC%20Repair%20%26%20Installation%20in%20Dubai&query_place_id=ChIJh8caCQBrXz4R6lXhS5HuAcI","Air conditioning repair service"
"Mazaya AC repair fixing dubai","5",,,,,,"https://acrepairfixingdubai.com/","+971 56 396 6808","HVAC contractor","Service establishment",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mazaya%20AC%20repair%20fixing%20dubai&query_place_id=ChIJV03eWdRxXz4RjgxkaQHzVfk","HVAC contractor"
"Ideal AC Maintenance And Duct Cleaning","5",,"Park Avenue",,"Dubai","AE","https://www.idealacmaintenance.xyz/","+971 50 284 8329","Air conditioning repair service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ideal%20AC%20Maintenance%20And%20Duct%20Cleaning&query_place_id=ChIJW7VgM_tlXz4RGue3JZ5KEOU","Air conditioning repair service"
"Dubai Air Conditioning Co LLC","4.4",,"Saeed Dafoos Building",,"Dubai","AE","http://www.dubaiac.com/","+971 4 339 5933","Air conditioning contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dubai%20Air%20Conditioning%20Co%20LLC&query_place_id=ChIJc6zj05NpXz4RsoY6gFczOyI","Air conditioning contractor"
"Quick Air Conditioning Maintenance and Service Dubai Investment Park","4.9",,"•X5M5+J4 - Warehouse No 2 86 Street",,"Dubai","AE","http://sajidacservice.com/","+971 58 100 9017","Air conditioning system supplier",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Quick%20Air%20Conditioning%20Maintenance%20and%20Service%20Dubai%20Investment%20Park&query_place_id=ChIJU7pX85dzXz4R7KQpswej7eQ","Air conditioning system supplier"
"HEYDAY HVAC AIR CONDITIONING COMPANY DUBAI UAE","4.9","24","11th St",,"Dubai","AE",,"+971 56 965 9756","Air conditioning contractor","Air conditioning system supplier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HEYDAY%20HVAC%20AIR%20CONDITIONING%20COMPANY%20DUBAI%20UAE&query_place_id=ChIJizOqij5cXz4RCBfrk87FX64","Air conditioning contractor"
"White Arch General Contracting & Maintenance L.L.C","4.6","76","PO 27612 - Office # 203, Saeed Nasser Al Junaibi Building Opposite Abu Dhabi City Terminal",,"Abu Dhabi","AE","http://www.whitearch-me.com/","+971 2 643 7371","HVAC contractor","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=White%20Arch%20General%20Contracting%20%26%20Maintenance%20L.L.C&query_place_id=ChIJT4RYXlBmXj4RymLatBrwu8E","HVAC contractor"
"RASCO","4.4","27","9G8C+9G6",,"Abu Dhabi","AE","http://www.rascouae.com/","+971 2 555 5624","HVAC contractor","Air conditioning contractor","Air conditioning repair service","Air conditioning system supplier","Air duct cleaning service","Container service",,,,,,"https://www.google.com/maps/search/?api=1&query=RASCO&query_place_id=ChIJ4wk5yRtBXj4R7Vmx66jQFtk","HVAC contractor"
"Al Sidra Technical Services LLC ( Interior Fit out Contractors, Mep Contractor, Dewa approved Contractor, HVAC Contractor )","4.5","22","OFFICE-1143, 1ST FLOOR,PRINCES CAR SHOWROOM BUILDING,NEAR TO OASIS CENTRE,SHEIKH ZAYED ROAD",,"Dubai","AE","http://alsidras.com/","+971 55 440 4312","HVAC contractor","Construction company","Drainage service","Electrical installation service","Interior fitting contractor","Interior construction contractor",,,,,,"https://www.google.com/maps/search/?api=1&query=Al%20Sidra%20Technical%20Services%20LLC%20(%20Interior%20Fit%20out%20Contractors%2C%20Mep%20Contractor%2C%20Dewa%20approved%20Contractor%2C%20HVAC%20Contractor%20)&query_place_id=ChIJK2y_cj1pXz4Ri2cETspQyXA","HVAC contractor"
"GLOBAL HVAC TRADING LLC","4.8","27","10 23rd St",,"Dubai","AE","http://www.globalhvacllc.com/","+971 4 238 4483","HVAC contractor","Air conditioning contractor","Air conditioning system supplier","Air conditioning store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=GLOBAL%20HVAC%20TRADING%20LLC&query_place_id=ChIJ9asSqspcXz4RCmVkx1HaEF0","HVAC contractor"
"THERMODYNAMICS TECHNICAL SERVICES LLC","4.9","17","Dubai Investment Park - 2",,"Dubai","AE","https://www.thermodynamics-me.com/","+971 56 115 8625","HVAC contractor","Commercial refrigerator supplier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=THERMODYNAMICS%20TECHNICAL%20SERVICES%20LLC&query_place_id=ChIJIW1nOVtdXz4RIHEkAUNI5nE","HVAC contractor"
"Challenge Way Air Conditioning And Refrigeration Maintenance - L.L.C-SPC","4.9","40","Shop No.6 - 6 At Tu'ous 4 St - behind Abu Dhabi Labour Court",,"Abu Dhabi","AE","https://challengewayac.com/","+971 50 385 6924","HVAC contractor","Air conditioning contractor","Air conditioning repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Challenge%20Way%20Air%20Conditioning%20And%20Refrigeration%20Maintenance%20-%20L.L.C-SPC&query_place_id=ChIJiefIOiVBXj4RcPROyLyAtmY","HVAC contractor"
"Parker General Maintenance(HVAC chiller & Domestic Pump Services)","5","24","Plot # 102, M09, Mussafah Industrial",,"Abu Dhabi","AE","http://www.parkerauh.ae/","+971 56 148 0526","HVAC contractor","Carpenter","Electrician","Construction company","Masonry contractor","Painter","Plumber","Property maintenance","Swimming pool","Waterproofing service",,"https://www.google.com/maps/search/?api=1&query=Parker%20General%20Maintenance(HVAC%20chiller%20%26%20Domestic%20Pump%20Services)&query_place_id=ChIJBVj52b1BXj4RzhsddWpD4FA","HVAC contractor"
"AIROTECH AIR CONDITIONING & GENERAL MAINTENANCE | | AC REPAIR AND MAINTENANCE SERVICES IN ABU DHABI | تاصلاح وصيانة مكيفات","4.7","67","Business Center Mussafah - M4 - Al Jammalah 6th Street - First Floor, Office Number 44 - Unit 10 Al Heel St",,"Abu Dhabi","AE","https://www.airotechacgm.com/","+971 56 219 4864","Air conditioning contractor","Civil engineering company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AIROTECH%20AIR%20CONDITIONING%20%26%20GENERAL%20MAINTENANCE%20%7C%20%7C%20AC%20REPAIR%20AND%20MAINTENANCE%20SERVICES%20IN%20ABU%20DHABI%20%7C%20%D8%AA%D8%A7%D8%B5%D9%84%D8%A7%D8%AD%20%D9%88%D8%B5%D9%8A%D8%A7%D9%86%D8%A9%20%D9%85%D9%83%D9%8A%D9%81%D8%A7%D8%AA&query_place_id=ChIJ131L7C9BXj4RxnSHddeWumc","Air conditioning contractor"
"SETH INT'L","4.8","42","ETA Star Manara Tower - 2504",,"Dubai","AE","https://www.sethnco.com/?utm_source=gmb&utm_medium=Google+My+Business&utm_id=MyBusinessPage","+971 4 553 2663","HVAC contractor","Air conditioning system supplier","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SETH%20INT'L&query_place_id=ChIJ4dEPV_9eXz4Rkz9jQAdVv84","HVAC contractor"
"HVAC Cleaning Service Repair Installation in Dubai - Khalifashaer.ae Company in UAE","5","1","45A St",,"Dubai","AE","https://www.khalifashaer.ae/","+971 50 420 2068","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HVAC%20Cleaning%20Service%20Repair%20Installation%20in%20Dubai%20-%20Khalifashaer.ae%20Company%20in%20UAE&query_place_id=ChIJM1I6NNBDXz4RzDfSHksK_MA","HVAC contractor"
"TARGET INTERNATIONAL LLC : MEP , HVAC .","4.7","24",,,"Abu Dhabi","AE","http://www.targetinternational.ae/","+971 2 564 9566","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TARGET%20INTERNATIONAL%20LLC%20%3A%20MEP%20%2C%20HVAC%20.&query_place_id=ChIJ0dQUl2pBXj4RZAZGSUQKrB0","HVAC contractor"
"MOLTEN","4.9","77","Capital - 9 7 St",,"Dubai","AE","http://www.moltents.com/","+971 50 391 4260","HVAC contractor","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MOLTEN&query_place_id=ChIJUYwRGSFpXz4RzE7HQV80Ehc","HVAC contractor"
"SAKA Group of companies","4.5","52","SAKA Group",,"Abu Dhabi","AE","https://www.sakagroup.ae/","+971 2 551 1392","HVAC contractor","Construction company","Electrical installation service","Environmental health service","Holding company","Contractor","Mechanical contractor","Property maintenance","Solar energy company",,,"https://www.google.com/maps/search/?api=1&query=SAKA%20Group%20of%20companies&query_place_id=ChIJV5GpLihBXj4R08F2NJ5JB24","HVAC contractor"
"Sun and Sky Electromechanical and General Contracting L.L.C","4.9","51","شارع فاطمة بنت مبارك",,"Abu Dhabi","AE","http://www.sunandsky-me.com/","+971 55 619 1629","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sun%20and%20Sky%20Electromechanical%20and%20General%20Contracting%20L.L.C&query_place_id=ChIJdfzV359nXj4R-wfaA9T_UPE","HVAC contractor"
"Jusoor Facility Management LLC","4.4","103","C-2 , 1st Floor , Wurtz Showroom Bld - Al Bees 8 St",,"Abu Dhabi","AE","http://www.jusoorfm.com/","+971 50 450 0876","HVAC contractor","Air compressor repair service","Air conditioning contractor","Air conditioning repair service","Air duct cleaning service","Bathroom remodeler","Gardener","Painter","Kitchen remodeler","Property maintenance",,"https://www.google.com/maps/search/?api=1&query=Jusoor%20Facility%20Management%20LLC&query_place_id=ChIJew3SDw5BXj4RurT4Vz0b5Jc","HVAC contractor"
"Arctic Mount Chiller Service / Compressor overhauling","4.5","27","Arctic Mount AC Systems Maintenance LLC Ali Rashid Lootah Opp: Al Ghurair Centre Office no: 107",,"Dubai","AE","http://www.arcticmount.com/","+971 50 571 7666","HVAC contractor","Air conditioning contractor","Air conditioning system supplier","Repair service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Arctic%20Mount%20Chiller%20Service%20%2F%20Compressor%20overhauling&query_place_id=ChIJByDNpcpcXz4R5lzfAu179fo","HVAC contractor"
"AirCo LLC","4.5","108","Building 2 Yas Marina Circuit",,"Abu Dhabi","AE","https://air-co.ae/","+971 50 851 1091","Air conditioning contractor","Air conditioning system supplier","Handyman/Handywoman/Handyperson","Painting","Property maintenance",,,,,,,"https://www.google.com/maps/search/?api=1&query=AirCo%20LLC&query_place_id=ChIJ5dYMCjRPXj4RCff1kjdNsc4","Air conditioning contractor"
"AL MUBASHIR AIR CONDITION TRADING & MAINTENANCE LLC","5","12","Shop29 - 16th St",,"Abu Dhabi","AE","https://www.almubashir.ae/","+971 56 375 0744","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AL%20MUBASHIR%20AIR%20CONDITION%20TRADING%20%26%20MAINTENANCE%20LLC&query_place_id=ChIJJ0a3z_FBXj4Ruky2inKsHDQ","HVAC contractor"
"Prime A/C Industries LLC","4",,"Dubai Investment Park - 2",,"Dubai","AE","http://www.primeaircon.com/","+971 4 807 0000","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prime%20A%2FC%20Industries%20LLC&query_place_id=ChIJj2OcVTZyXz4RiJ-5dqoJvCo","HVAC contractor"
"Heinen & Hopman Airconditioning LLC (Formerly known as CASP)","4.7",,"Workshop No. 2 W110",,"Dubai","AE","http://www.heinenhopman.com/","+971 4 584 0111","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Heinen%20%26%20Hopman%20Airconditioning%20LLC%20(Formerly%20known%20as%20CASP)&query_place_id=ChIJ4wBKI9RdXz4RaURcdC0NUnQ","HVAC contractor"
"Cool And Cool Air Condition System LLC","4.7",,"Dubai International Airport",,"Dubai","AE","https://www.ogeneralac.com/","+971 56 300 0442","Air conditioning contractor","Air conditioning system supplier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cool%20And%20Cool%20Air%20Condition%20System%20LLC&query_place_id=ChIJRwx5_KJhXz4RmlcmB2Cf8xM","Air conditioning contractor"
"Samra Facilities Inc - AC Repair & Maintenance","4.7",,"Prime Tower - 021 31st floor",,"Dubai","AE","https://www.samrafm.com/","+971 52 423 0419","Air conditioning contractor","Property maintenance","Air conditioning repair service","Air conditioning system supplier","Air duct cleaning service","Electrician","Flooring contractor","Plumber","Property management company","Tile contractor",,"https://www.google.com/maps/search/?api=1&query=Samra%20Facilities%20Inc%20-%20AC%20Repair%20%26%20Maintenance&query_place_id=ChIJW0lIdA5hXz4R6x9QaC2xKrc","Air conditioning contractor"
"Enviro Clean UAE","4.9",,"Empire Height A, 9th floor, business bay Bldg 0913",,"Dubai","AE","https://envirocleanuae.com/","+971 52 838 9414","Air duct cleaning service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Enviro%20Clean%20UAE&query_place_id=ChIJi9ylGh1pXz4Ru8R4OPvupgI","Air duct cleaning service"
"Fastfix","4.8",,,,,,"https://ac-servicesdubai.com/","+971 54 538 6815","HVAC contractor","Service establishment",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fastfix&query_place_id=ChIJwy2xoBZnXz4Ri4vvXNwWvP0","HVAC contractor"
"Gaia Solutions","5",,"WeWork, The Offices 4 One Central",,"Dubai","AE","https://www.gaia-solutions.earth/","+971 56 374 2421","Air duct cleaning service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gaia%20Solutions&query_place_id=ChIJa-GATUwOpmERedrCqUKxnGU","Air duct cleaning service"
"Biosweep Middle East Disinfection Services LLC | AC Duct Cleaning Dubai","4.9",,"Center - Office No. 10, 1st Floor - 68 Sheikh Rashid Rd",,"Dubai","AE","https://www.biosweepuae.com/","+971 56 177 9641","Air duct cleaning service","Carpet cleaning service","House cleaning service","HVAC contractor",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Biosweep%20Middle%20East%20Disinfection%20Services%20LLC%20%7C%20AC%20Duct%20Cleaning%20Dubai&query_place_id=ChIJ__-P4x9dXz4RNUdGrsKDbTc","Air duct cleaning service"
"Home Fixers Dubai","4.9",,"Offices Land Building Block 3",,"Dubai","AE","https://homefixers.ae/","+971 55 708 1827","Electrician","Carpenter","Handyman/Handywoman/Handyperson","House cleaning service","HVAC contractor","Kitchen remodeler","Painting","Plumber",,,,"https://www.google.com/maps/search/?api=1&query=Home%20Fixers%20Dubai&query_place_id=ChIJwTRPbCdIiSwRaWwh91n5wZI","Electrician"
"Silver Lake Electromechanical Works LLC - Abu Dhabi Branch","4.9","33",,,"Abu Dhabi","AE","https://www.silverlakeelectromechanical.com/","+971 2 553 7796","HVAC contractor","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Silver%20Lake%20Electromechanical%20Works%20LLC%20-%20Abu%20Dhabi%20Branch&query_place_id=ChIJcVvnoLFBXj4RUD_-03Rv9sg","HVAC contractor"
"Special Air Condition General Maintenance || AC Repair in Abu Dhabi | تصليح مكيفات الهواء في أبو ظبي","4.5","216","Musaffah M/6 Building No: 78 Sector No: 06",,"Abu Dhabi","AE","https://specialairconditiongeneralmaintenance.com/","+971 52 347 6261","HVAC contractor","Air conditioning system supplier","Appliance repair service","Electronics repair shop","Air conditioning repair service","Refrigerator repair service","Repair service","Washer & dryer repair service",,,,"https://www.google.com/maps/search/?api=1&query=Special%20Air%20Condition%20General%20Maintenance%20%7C%7C%20AC%20Repair%20in%20Abu%20Dhabi%20%7C%20%D8%AA%D8%B5%D9%84%D9%8A%D8%AD%20%D9%85%D9%83%D9%8A%D9%81%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%88%D8%A7%D8%A1%20%D9%81%D9%8A%20%D8%A3%D8%A8%D9%88%20%D8%B8%D8%A8%D9%8A&query_place_id=ChIJq8lG_7FBXj4RD_U-_ITu2uk","HVAC contractor"
"YORKS Air Conditioning & Refrigeration WLL","4.8","24",,,"Abu Dhabi","AE","http://www.yorks.ae/","+971 2 550 9788","Air conditioning contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=YORKS%20Air%20Conditioning%20%26%20Refrigeration%20WLL&query_place_id=ChIJp29QN_JAXj4RAX8J1fpCZu4","Air conditioning contractor"
"Prime Central Air Conditioning Co. L.L.C","4.6","21",,,"Abu Dhabi","AE","http://www.primegroupuae.ae/","+971 2 672 4648","Air conditioning contractor","Air duct cleaning service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prime%20Central%20Air%20Conditioning%20Co.%20L.L.C&query_place_id=ChIJJxoQ41hmXj4RgvKa9RYpZQI","Air conditioning contractor"
"Saeed Al Meraikhi Repairing Air Conditioning | AC, Fridge & Washing Machines Repair in Abu Dhabi","4.6","96","9G37+239 Saeed Al Meraikhi Repairing Air Conditioning",,"Abu Dhabi","AE","http://www.samacmaintenance.com/","+971 56 326 8997","HVAC contractor","Air compressor repair service","Air conditioning repair service","Air conditioning system supplier","Air duct cleaning service","Appliance repair service","Air conditioning contractor","Refrigerator repair service","Washer & dryer repair service",,,"https://www.google.com/maps/search/?api=1&query=Saeed%20Al%20Meraikhi%20Repairing%20Air%20Conditioning%20%7C%20AC%2C%20Fridge%20%26%20Washing%20Machines%20Repair%20in%20Abu%20Dhabi&query_place_id=ChIJqQqbd5VBXj4R-Kjcc2RjbLk","HVAC contractor"
"Takyeef Factory LLC","4.1","48","Industrial City of Abu Dhabi (ICAD-2",,"Abu Dhabi","AE","http://www.takyeeffactory.ae/","+971 2 551 2552","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Takyeef%20Factory%20LLC&query_place_id=ChIJrww7Sr0_Xj4RwiqCSsx4iOQ","HVAC contractor"
"Ac service abu dhabi electra state","4.6","11","electra state uae",,"Abu Dhabi","AE",,"+971 56 532 3669","HVAC contractor","Home help",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ac%20service%20abu%20dhabi%20electra%20state&query_place_id=ChIJ0fMVOpdpXj4RFviZ3TyNyP8","HVAC contractor"
"MADA INTERNATIONAL ELECTROMECHANICAL CONT. CO. L.L.C.","4.6","109","MUSAFFAH INDUSTRIAL M44, Elite Business Zone- Stor 96 - MUSAFFAH M44",,"Abu Dhabi","AE","http://mada-international.com/","+971 50 204 0503","HVAC contractor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MADA%20INTERNATIONAL%20ELECTROMECHANICAL%20CONT.%20CO.%20L.L.C.&query_place_id=ChIJbYtR8l5AXj4RRG9slLo0e9k","HVAC contractor"
"Seven Towers Construction Abudhabi","4.3","6","Air Condition installation Repair and services, Abudhabi Al Mushrif (0555848686)",,"Abu Dhabi","AE",,"+971 55 584 8686","HVAC contractor","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seven%20Towers%20Construction%20Abudhabi&query_place_id=ChIJ__zAG4ZoXj4RFqtdlydybM8","HVAC contractor"
"Blue Triangle Electromechanical Contracting L.L.C","4.6","21","51 Sheikh Rashid Bin Saeed St",,"Abu Dhabi","AE","http://www.bluetriangleuae.com/","+971 50 961 8816","HVAC contractor","Air conditioning contractor","Air conditioning system supplier","Air duct cleaning service","Electrical installation service","Mechanical contractor",,,,,,"https://www.google.com/maps/search/?api=1&query=Blue%20Triangle%20Electromechanical%20Contracting%20L.L.C&query_place_id=ChIJwcpSskdpXj4RiPU0QQIP-RU","HVAC contractor"
"AC Maintenance In Dubai (Ac Maintenance In Dubai)","4.3",,"AC Maintenance in Dubai OFFICE PARK 2, DUBAI INTERNET CITY UNIT-CG05 CM-05",,"Dubai","AE","https://wa.link/bwe9w5","+971 56 767 0196","HVAC contractor","Air conditioning contractor","Air conditioning repair service","Air conditioning system supplier","Air duct cleaning service",,,,,,,"https://www.google.com/maps/search/?api=1&query=AC%20Maintenance%20In%20Dubai%20(Ac%20Maintenance%20In%20Dubai)&query_place_id=ChIJE2p0icJrXz4RdH7bMyeqhho","HVAC contractor"
"Ac Maintenance Dubai LLC Best Services","4.6",,,,"Dubai","AE",,"+971 55 915 1292","Plumber","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ac%20Maintenance%20Dubai%20LLC%20Best%20Services&query_place_id=ChIJt4sbNuFhXz4RsvWgq3j_T0c","Plumber"
